w0,w1,w2,w3,w4,total,mean_age,date
63,28,4,1,0,96,5.708333333333333,2017-11-03
58,21,9,1,0,89,6.303370786516854,2017-10-27
49,29,11,4,5,98,9.326530612244898,2017-10-20
61,38,13,5,6,123,8.894308943089431,2017-10-13
71,42,10,9,2,134,8.164179104477611,2017-10-06
86,35,21,10,0,152,7.875,2017-09-29
80,54,25,8,3,170,8.723529411764705,2017-09-22
68,62,20,14,6,170,9.735294117647058,2017-09-15
62,42,23,8,10,145,10.027586206896551,2017-09-08
57,36,14,16,1,124,9.588709677419354,2017-09-01
59,24,20,2,4,109,8.385321100917432,2017-08-25
61,56,24,14,7,162,10.469135802469136,2017-08-18
70,42,16,6,3,137,8.437956204379562,2017-08-11
74,37,16,9,5,141,8.98581560283688,2017-08-04
57,40,15,3,5,120,9.475,2017-07-28
55,34,8,4,2,103,8.563106796116505,2017-07-21
58,42,17,6,1,124,8.733870967741936,2017-07-14
70,26,9,1,1,107,6.616822429906542,2017-07-07
60,23,12,2,3,100,7.45,2017-06-30
65,40,12,5,5,127,8.0,2017-06-23
78,30,21,15,2,146,8.972602739726028,2017-06-16
51,46,27,8,4,136,9.705882352941176,2017-06-09
73,48,17,10,2,150,8.726666666666667,2017-06-02
64,38,13,3,0,118,7.296610169491525,2017-05-26
